codprov;des_prov;wregion;des_wregion;etotalmuj;etotalhom;publicid;totalq;totremun;fonreser;wgruenc;des_wgruenc
17;PICHINCHA;1;REGION SIERRA;32;11;4872;130564;547705;23038;1;HOTELES Y RESTAURANTES
18;TUNGURAHUA;1;REGION SIERRA;6;7;3585;0;120738;6754;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;40;37;14222;92328;685376;34527;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;11;89;65627;277097;826862;23199;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;89;158;447565;499185;2073286;71499;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;159;172;116;32396;2188100;45262;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;16;39;8406;75000;536340;20763;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;194;21;96481;502226;2920740;66538;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;53;62;32157;348263;1151987;41618;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;47;112;17612;60044;2026033;64690;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;21;23;18965;0;297295;17961;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;95;188;100935;812133;2787374;105394;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;38;42;0;308431;1131274;53634;1;HOTELES Y RESTAURANTES
18;TUNGURAHUA;1;REGION SIERRA;21;51;50612;10584;639866;28819;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;250;433;974424;1931485;5551200;144455;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;102;232;454487;423302;3857842;145258;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;480;533;362172;2883019;7745740;299405;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;64;199;11209;161359;3461542;183008;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;86;76;28465;340149;1654290;99481;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;48;13;2304;160310;461760;31605;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;40;35;0;417167;697544;38495;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;922;626;695702;5878818;12110880;514845;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;139;68;0;65278;1715179;87521;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;1796;2374;11829038;12896513;35265404;1738023;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;170;582;308325;1529013;7946014;359720;1;HOTELES Y RESTAURANTES
8;ESMERALDAS;2;REGION COSTA;7;8;0;0;110402;571;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;2;5450;9288;102663;7074;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;86;114;222427;0;7655462;400777;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;1;87811;7200;108372;784;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;1;975;10353;283688;12991;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;3;872716;0;355340;16708;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;1;0;6460;42149;2076;2;SERVICIOS
6;CHIMBORAZO;1;REGION SIERRA;19;19;10213;13921;546179;15453;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;15;4;106632;47373;590590;25879;2;SERVICIOS
23;SANTO DOMINGO;1;REGION SIERRA;19;9;50601;3000;502309;14229;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;5;17808;14430;193262;11137;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;13;1549;35284;298487;16928;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;16;47;0;2553;547843;12345;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;2;1;96000;15806;71265;2563;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;364;447;457509;3521258;7401768;273831;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;31;27;6409;64524;916695;46328;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;3;10494;10698;95296;3208;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;7;4500;0;63068;3816;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;4;3449;22896;138528;9303;2;SERVICIOS
11;LOJA;1;REGION SIERRA;10;10;18144;0;298657;10237;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;220;215;777355;1043228;4856187;166024;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;148;139;1168924;2463167;3173083;143806;2;SERVICIOS
14;MORONA SANTIAGO;3;REGION AMAZONICA;7;6;0;19200;115117;7651;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;37;70;0;10946;1895262;114089;2;SERVICIOS
12;LOS0RIOS;2;REGION COSTA;1;5;4474;0;35926;2012;2;SERVICIOS
12;LOS0RIOS;2;REGION COSTA;1;9;10400;3960;106797;5846;2;SERVICIOS
7;EL ORO;2;REGION COSTA;19;19;19895;66411;417987;18663;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;34;84;0;15613;2340027;123025;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;102;150;337284;310899;6581246;382704;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;170;293;341434;228840;10689900;605648;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;168;354;1990990;0;15889304;863480;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;101;236;690275;540027;4823992;243044;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;76;163;681244;259803;7412278;232319;2;SERVICIOS
23;SANTO DOMINGO;1;REGION SIERRA;14;32;76021;0;351794;21908;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;5;16;17329;41149;197673;8286;2;SERVICIOS
10;IMBABURA;1;REGION SIERRA;1;4;0;0;31640;0;2;SERVICIOS
11;LOJA;1;REGION SIERRA;6;9;40;0;72601;3473;2;SERVICIOS
2;BOLIVAR;1;REGION SIERRA;6;2;127;23176;98984;4712;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;6;12;870;5016;322481;18366;2;SERVICIOS
5;COTOPAXI;1;REGION SIERRA;5;9;0;0;103320;5855;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;71;159;49974;190564;5742349;292635;2;SERVICIOS
22;ORELLANA;3;REGION AMAZONICA;2;10;0;3380;188898;4021;2;SERVICIOS
21;SUCUMBIOS;3;REGION AMAZONICA;2;11;0;0;127372;5305;2;SERVICIOS
22;ORELLANA;3;REGION AMAZONICA;0;0;0;0;0;0;2;SERVICIOS
15;NAPO;3;REGION AMAZONICA;3;5;3078;16862;107005;6569;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;221;6987;15537;999;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;1;0;36000;37291;1730;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;6;17;2372;15623;243428;12351;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;13;51;95582;100281;1179185;61918;2;SERVICIOS
7;EL ORO;2;REGION COSTA;50;32;36780;106517;244491;12181;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;14;63;0;221665;7788022;512597;2;SERVICIOS
13;MANABI;2;REGION COSTA;7;13;14856;14821;320928;17192;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;183;308;180297;31482;4640912;236189;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;17;34;0;47168;1112011;50065;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;157;429;2748448;1513850;7695994;470808;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;127;342;10242;654039;6528229;257083;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;241;387;2875190;1851760;8140081;440221;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;269;2028;1917371;4436670;30956384;1213100;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;1183;1353;98577420;27896989;109929302;2976950;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;40;0;303375;3994880;236787;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;13;0;138654;1893068;114618;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;0;0;3600;52264;1882;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;1;0;3600;42509;2645;2;SERVICIOS
11;LOJA;1;REGION SIERRA;6;3;1553;35759;179181;10670;2;SERVICIOS
18;TUNGURAHUA;1;REGION SIERRA;5;0;3327;14272;80234;4119;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;1;579398;19656;210073;11910;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;6;0;8994;82140;4379;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;2;0;0;59548;3125;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;4;2;0;15837;917623;3291;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;8;0;6272;133076;7610;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;30;10;6986;72750;2580190;123225;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;4;4;220;17100;575188;31071;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;16;21;5555;29366;646742;37049;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;57;2156;186004;1214900;62497;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;9;32;204595;19945;448422;16541;2;SERVICIOS
3;CANIAR;1;REGION SIERRA;8;6;16149;21124;206809;11887;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;14;2532;59139;560937;20119;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;49;76;6587;79873;2045896;77082;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;115;327;986292;837914;6562970;253682;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;81;103;272902;403270;3528740;147122;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;320;1052;414465;895965;28029952;1445996;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;67;239;4281370;1945455;14925997;162809;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;172;474;1306356;145821;9796007;461016;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;20;67;0;427214;4290749;25404;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;162;263;12224;264993;5954767;190530;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;133;213;9944407;2284873;11117656;487434;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;543;793;18249198;23095191;51008826;1083957;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3318;5185;18842027;9418145;164637202;7664198;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;17;47;4547;51855;708953;34307;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;5;444;10877;84819;2920;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;4;0;6693;102149;5490;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1091;1473;9668077;561674;44417061;3154042;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;13;2500;12293;358531;21236;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;4;0;7174;184313;10243;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;3;319;3810;183342;10023;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;0;17090;3000;59906;849;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;0;15991;0;20011;1371;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;2;164;0;32660;543;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;0;0;16731;0;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;4;36;5061;179149;2653;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;12;16;1375;42470;1016608;62709;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;1;1650;10560;134972;6955;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;1;0;0;73699;2738;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;17;21;41056;9600;1427937;86057;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;13;25;0;80478;1365183;69597;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;26;51;15580;139242;1384754;59073;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;9;0;49449;1603134;85055;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;3;592;25000;380285;5485;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;40;42;153348;120195;2221325;100954;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;14;19;1216;12900;672929;23583;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;13;24;1120;38372;952497;45480;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;37;41;8316;51162;2206107;107346;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;9;47871;9648;473917;21960;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;28;17;6544;20987;972387;53401;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;2;0;8232;144132;3603;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;40;60;270;86907;3345804;113609;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;132;226;31302;375722;10988508;615926;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;88;180;830;144944;5824656;279881;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;18;25;495365;240531;5308623;222243;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;23;58;15009;85211;2773892;107383;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;61;30;103552;140431;1535037;69841;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;16;54749;0;524497;17868;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;168;77;308101;554024;5298688;179548;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;140;88;115945;233818;3478104;149850;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;22;19;132;14106;880952;41454;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;22;148;2718;0;3455733;144947;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;0;0;3843;0;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;1;0;0;536;28259;1612;2;SERVICIOS
13;MANABI;2;REGION COSTA;1;0;0;0;25695;1288;2;SERVICIOS
13;MANABI;2;REGION COSTA;2;7;119;0;53394;3392;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;0;0;0;0;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;2;85;10834;135456;5940;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;43;77;400268;93977;3140789;113314;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;35;25;177757;27390;1057220;33356;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;1200;3150;0;0;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;6;3;730;22625;266384;12535;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;0;0;0;29579;1390;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;74;115;486772;284439;3706527;113398;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;74;99;641648;233747;4496653;229673;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;67;29;175420;128825;1551112;72199;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;60;40;48111;0;4778753;180420;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;830282;0;0;0;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;1580179;0;0;0;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;59;115;2867681;95423;4638804;149406;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;5;30532;112787;1178353;2363;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;16;12;211959;108692;713919;24992;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;30;316716;0;566896;26978;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;7;9;0;0;311112;14700;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;1;0;21000;50772;571;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;0;0;0;0;0;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;0;0;7088;361;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;0;0;21656;862;2;SERVICIOS
23;SANTO DOMINGO;1;REGION SIERRA;0;0;0;0;5103;0;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;2;0;93795;432629;14525;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;5;3;174;83075;109025;2606;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;2;75;34434;254715;6997;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;6;11;32442;144680;291925;8796;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;9;7;0;60561;211527;12163;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;14;24;1581;0;849802;35460;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;25;18;1766;195365;1094940;30542;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;20;14;7506;83602;935771;49018;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;4;0;0;2775;89819;3219;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;14476;23625;264006;10586;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;3;202;0;92201;4447;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;43;26;14978;185158;1800112;87234;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;33;24;1957;0;976238;48005;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;89;63;55148;403201;4057441;164961;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;5;26;2756;130298;674821;32509;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;34;24;0;168944;1509025;71974;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;17;0;68359;457516;24445;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;0;0;0;69114;165930;1690;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;4;1208985;184433;265335;8612;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;0;0;9599;225348;13254;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;6;0;8620;133092;6220;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;7;0;0;189915;11840;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;1;0;6525;107088;4644;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;2;123503;14788;45995;2917;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;2;0;0;164108;5234;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;25;14;0;66140;1533597;58088;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;17;12;3275396;105351;1375717;45414;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;9;11;30516;28682;570691;25761;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;7;2585264;0;239878;13046;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;22;24;13351;82280;1086320;51593;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;188;49;134;72015;1388336;380;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;42;48;300581;109059;3058623;120731;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;26;36;75167;47872;1224044;58947;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;115;109;0;146530;2810524;74577;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;45;42;9537;59367;2399013;108117;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;41;56;0;69378;2646042;142812;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;58;60;480;0;3188578;172167;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;25;27;0;0;1282594;70477;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;26;17;2297465;69474;1953378;83064;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;10;18;387570;0;473440;23886;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;39;29;22150;183117;1111508;51583;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;15;19;101885;68983;1417323;63733;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;13;10;7515;20550;1761934;103336;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;29;7;0;0;985044;46415;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;8;46452;42000;233671;11848;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;8;8;1588551;0;320935;18079;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;5;12;414277;22532;301576;11397;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;6;0;19586;225036;12015;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;3;4250;706;91982;4296;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;5;0;0;843058;47363;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;440;182;0;114543;2735925;50095;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;11;14;3228;11400;571298;29517;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;11;9;12550;47883;642068;21238;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;37;62;15120;236870;3032947;151256;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;310;122;934;66172;3803957;129396;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;51;40;0;354098;2121582;92747;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;28;167;28734;1078367;2974287;133773;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;20;7;99185;37974;724355;35527;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;43;56;43333;250252;3412429;130910;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;56;43;6112;103157;1736080;84732;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;21;65;107538;1231861;1909485;92119;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;19;17;87;206719;1210241;51696;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;20;15;86601;24910;1179457;76364;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;4;0;0;60601;2675;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;16;29;1896;68855;860351;40528;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;18;11;87;0;406806;15583;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;2;0;38784;122601;4621;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;2;0;0;51816;607;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;21;11;0;24444;808634;38380;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;39;2658;18727;795502;33907;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;36;60;4198;35812;2233674;92655;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;17;610;60752;599866;31602;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;16;65;1495;322028;1052699;42565;2;SERVICIOS
22;ORELLANA;3;REGION AMAZONICA;0;0;0;5217;72762;0;2;SERVICIOS
22;ORELLANA;3;REGION AMAZONICA;2;18;0;575363;476136;27855;2;SERVICIOS
22;ORELLANA;3;REGION AMAZONICA;0;111;65394;178869;2857085;89673;2;SERVICIOS
13;MANABI;2;REGION COSTA;0;2;0;48000;18067;1248;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;3;54;0;10268;971117;24250;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;23;61;2924;62809;6286980;365684;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;16;80;13113;1543762;2895363;123043;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;5;7816;3300;111269;4126;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;1;0;0;7635;441;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;11;9;300;110209;958628;37879;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;9;31;6016;27468;1026940;67321;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;5;48;0;0;885603;49530;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;4;34;0;7560;771144;36503;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;152;141;291740;1277348;6470592;314981;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;51;100;368939;626071;5202897;233795;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;206;228;9023;12225;4169301;162064;2;SERVICIOS
23;SANTO DOMINGO;1;REGION SIERRA;0;8;0;0;96709;2831;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;36;57;23154;105077;3678361;134973;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;18;0;6504;533464;3599;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;15;0;4740;498545;26362;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;15;5;208;31915;464106;26965;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;7;2;0;2983;147242;8525;2;SERVICIOS
13;MANABI;2;REGION COSTA;1;1;362;0;19710;1098;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;4;12280;0;141954;8441;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;19;11;18611;5557;416131;23422;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;1;1645;0;53719;2792;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;29;127;0;68609;4185348;160980;2;SERVICIOS
20;GALAPAGOS;4;REGION INSULAR;6;2;19888;6133;107037;4792;2;SERVICIOS
20;GALAPAGOS;4;REGION INSULAR;7;10;6217;22085;403397;19689;2;SERVICIOS
20;GALAPAGOS;4;REGION INSULAR;19;18;181832;27883;1085367;37664;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;5;3;79;17280;132795;8262;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;5;502;0;83779;4723;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;3;1429;14993;124526;7910;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;0;0;5315;18690;999;2;SERVICIOS
18;TUNGURAHUA;1;REGION SIERRA;1;0;635;1950;9894;400;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;0;0;505;0;13400;519;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;0;30720;6018;301;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;1;0;0;3120;1919;0;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;8;2;1389;964;89622;6124;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;6;2;365;3830;220454;8125;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;2;1;273;5536;104569;4756;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;9;5;129;11829;136727;5896;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;3;3;14824;11681;147029;4906;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;3;1;1257;19330;52184;2734;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;7;6;6270;8450;182478;7028;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;15;9;251436;23896;900448;48154;2;SERVICIOS
